,NAICS2017_LABEL,SEX_LABEL,ETH_GROUP,RACE_GROUP,RACE_GROUP_LABEL,VET_GROUP_LABEL,YIBSZFI,YIBSZFI_LABEL,FIRMPDEMP,RCPPDEMP,EMP,PAYANN,EMPSZFI,EMPSZFI_LABEL
0,Meaning of NAICS code,Meaning of Sex code,Ethnicity code,Race code,Meaning of Race code,Meaning of Veteran code,Years in business code,Meaning of Years in business code,Number of employer firms,"Sales, value of shipments, or revenue of employer firms ($1,000)",Number of employees,"Annual payroll ($1,000)",Employment size of firms code,Meaning of Employment size of firms code
1,Total for all sectors,Total,001,00,Total,Total,311,Firms with less than 2 years in business,849175,688192883,3599360,154180355,,
2,Total for all sectors,Total,001,00,Total,Total,318,Firms with 2 to 3 years in business,716587,784730351,5028886,180567186,,
3,Total for all sectors,Total,001,00,Total,Total,319,Firms with 4 to 5 years in business,566261,762164574,4727063,185864362,,
4,Total for all sectors,Total,001,00,Total,Total,321,Firms with 6 to 10 years in business,950408,1845346496,9597704,435980708,,
5,Total for all sectors,Total,001,00,Total,Total,322,Firms with 11 to 15 years in business,799035,1962817192,9103717,450510229,,
6,Total for all sectors,Total,001,00,Total,Total,323,Firms with 16 or more years in business,1889823,34030002202,96841496,5820482724,,
7,Total for all sectors,Female,001,00,Total,Total,311,Firms with less than 2 years in business,202898,112194469,740589,27547373,,
8,Total for all sectors,Female,001,00,Total,Total,318,Firms with 2 to 3 years in business,177238,129463336,1068725,32748627,,
9,Total for all sectors,Female,001,00,Total,Total,319,Firms with 4 to 5 years in business,134199,114801269,946584,30406240,,
10,Total for all sectors,Female,001,00,Total,Total,321,Firms with 6 to 10 years in business,213389,214948633,1694701,58946938,,
11,Total for all sectors,Female,001,00,Total,Total,322,Firms with 11 to 15 years in business,167943,219371268,1502555,56340772,,
12,Total for all sectors,Female,001,00,Total,Total,323,Firms with 16 or more years in business,312735,1017475818,4838793,212562182,,
13,Total for all sectors,Male,001,00,Total,Total,311,Firms with less than 2 years in business,511977,464070068,2220134,101802172,,
14,Total for all sectors,Male,001,00,Total,Total,318,Firms with 2 to 3 years in business,423924,487135165,3010175,112791345,,
15,Total for all sectors,Male,001,00,Total,Total,319,Firms with 4 to 5 years in business,337050,496366581,2855594,117076009,,
16,Total for all sectors,Male,001,00,Total,Total,321,Firms with 6 to 10 years in business,574989,1159107483,5753596,267945793,,
17,Total for all sectors,Male,001,00,Total,Total,322,Firms with 11 to 15 years in business,483853,1173143020,5255974,260410308,,
18,Total for all sectors,Male,001,00,Total,Total,323,Firms with 16 or more years in business,1176472,8050069567,26470439,1388752070,,
19,Total for all sectors,Equally male/female,001,00,Total,Total,311,Firms with less than 2 years in business,129246,89649207,532881,19881600,,
20,Total for all sectors,Equally male/female,001,00,Total,Total,318,Firms with 2 to 3 years in business,103578,92869336,699459,20198799,,
21,Total for all sectors,Equally male/female,001,00,Total,Total,319,Firms with 4 to 5 years in business,82667,83159262,585564,18092034,,
22,Total for all sectors,Equally male/female,001,00,Total,Total,321,Firms with 6 to 10 years in business,137861,181535025,1199790,39538876,,
23,Total for all sectors,Equally male/female,001,00,Total,Total,322,Firms with 11 to 15 years in business,124974,169596008,1099887,39592262,,
24,Total for all sectors,Equally male/female,001,00,Total,Total,323,Firms with 16 or more years in business,268105,792666976,3764569,156007605,,
25,Total for all sectors,Total,020,00,Total,Total,311,Firms with less than 2 years in business,62523,40269372,238022,9131896,,
