,Unnamed: 0,GEO_ID,NAME,NAICS2017,NAICS2017_LABEL,SEX,SEX_LABEL,ETH_GROUP,ETH_GROUP_LABEL,RACE_GROUP,RACE_GROUP_LABEL,VET_GROUP,VET_GROUP_LABEL,EMPSZFI,EMPSZFI_LABEL,YEAR,FIRMPDEMP,RCPPDEMP,EMP,PAYANN,Unnamed: 33
0,0,Geographic identifier code,Geographic Area Name,2017 NAICS code,Meaning of NAICS code,Sex code,Meaning of Sex code,Ethnicity code,Meaning of Ethnicity code,Race code,Meaning of Race code,Veteran code,Meaning of Veteran code,Employment size of firms code,Meaning of Employment size of firms code,Year,Number of employer firms,"Sales, value of shipments, or revenue of employer firms ($1,000)",Number of employees,"Annual payroll ($1,000)",
1,1,0100000US,United States,00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,611,Firms with no employees,2019,730078,298164421,0,50074562,
2,2,0100000US,United States,00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,612,Firms with 1 to 4 employees,2019,2826849,1266736429,5632339,233431702,
3,3,0100000US,United States,00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,620,Firms with 5 to 9 employees,2019,959641,1142368704,6329828,257601290,
4,4,0100000US,United States,00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,630,Firms with 10 to 19 employees,2019,609335,1440258482,8211284,347772825,
5,5,0100000US,United States,00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,641,Firms with 20 to 49 employees,2019,406468,2445916742,12230321,540126965,
6,6,0100000US,United States,00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,642,Firms with 50 to 99 employees,2019,126504,2187018333,8663459,420744459,
7,7,0100000US,United States,00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,651,Firms with 100 to 249 employees,2019,70299,3210325608,10646783,581208064,
8,8,0100000US,United States,00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,652,Firms with 250 to 499 employees,2019,21860,2562327727,7588844,427858336,
9,9,0100000US,United States,00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,657,Firms with 500 employees or more,2019,20256,25520137251,69595369,4368767359,
10,10,0100000US,United States,00,Total for all sectors,002,Female,001,Total,00,Total,001,Total,611,Firms with no employees,2019,158897,47463228,0,8762911,
11,11,0100000US,United States,00,Total for all sectors,002,Female,001,Total,00,Total,001,Total,612,Firms with 1 to 4 employees,2019,628816,222730769,1221369,44886992,
12,12,0100000US,United States,00,Total for all sectors,002,Female,001,Total,00,Total,001,Total,620,Firms with 5 to 9 employees,2019,200269,179280512,1318130,44822901,
13,13,0100000US,United States,00,Total for all sectors,002,Female,001,Total,00,Total,001,Total,630,Firms with 10 to 19 employees,2019,120153,218176483,1610482,57106171,
14,14,0100000US,United States,00,Total for all sectors,002,Female,001,Total,00,Total,001,Total,641,Firms with 20 to 49 employees,2019,71580,301700718,2120580,77208891,
15,15,0100000US,United States,00,Total for all sectors,002,Female,001,Total,00,Total,001,Total,642,Firms with 50 to 99 employees,2019,18034,234710674,1213948,48730822,
16,16,0100000US,United States,00,Total for all sectors,002,Female,001,Total,00,Total,001,Total,651,Firms with 100 to 249 employees,2019,7696,189604449,1137654,48683078,
17,17,0100000US,United States,00,Total for all sectors,002,Female,001,Total,00,Total,001,Total,652,Firms with 250 to 499 employees,2019,1785,110774133,609863,24850559,
18,18,0100000US,United States,00,Total for all sectors,002,Female,001,Total,00,Total,001,Total,657,Firms with 500 employees or more,2019,1176,303813826,1559922,63499808,
19,19,0100000US,United States,00,Total for all sectors,003,Male,001,Total,00,Total,001,Total,611,Firms with no employees,2019,450798,200198772,0,32440927,
20,20,0100000US,United States,00,Total for all sectors,003,Male,001,Total,00,Total,001,Total,612,Firms with 1 to 4 employees,2019,1724155,838381183,3429436,152502173,
21,21,0100000US,United States,00,Total for all sectors,003,Male,001,Total,00,Total,001,Total,620,Firms with 5 to 9 employees,2019,581306,770585296,3831292,169834385,
22,22,0100000US,United States,00,Total for all sectors,003,Male,001,Total,00,Total,001,Total,630,Firms with 10 to 19 employees,2019,369755,980187676,4985473,230773204,
23,23,0100000US,United States,00,Total for all sectors,003,Male,001,Total,00,Total,001,Total,641,Firms with 20 to 49 employees,2019,247584,1642832706,7456450,356361275,
24,24,0100000US,United States,00,Total for all sectors,003,Male,001,Total,00,Total,001,Total,642,Firms with 50 to 99 employees,2019,76993,1477406370,5256118,267251032,
25,25,0100000US,United States,00,Total for all sectors,003,Male,001,Total,00,Total,001,Total,651,Firms with 100 to 249 employees,2019,40067,1976424282,6015516,335770016,
26,26,0100000US,United States,00,Total for all sectors,003,Male,001,Total,00,Total,001,Total,652,Firms with 250 to 499 employees,2019,10602,1242169852,3616931,199669977,
27,27,0100000US,United States,00,Total for all sectors,003,Male,001,Total,00,Total,001,Total,657,Firms with 500 employees or more,2019,7008,2701705746,10974696,504174707,
28,28,0100000US,United States,00,Total for all sectors,004,Equally male/female,001,Total,00,Total,001,Total,611,Firms with no employees,2019,113112,44015421,0,8164129,
29,29,0100000US,United States,00,Total for all sectors,004,Equally male/female,001,Total,00,Total,001,Total,612,Firms with 1 to 4 employees,2019,414362,179974224,852850,30529173,
30,30,0100000US,United States,00,Total for all sectors,004,Equally male/female,001,Total,00,Total,001,Total,620,Firms with 5 to 9 employees,2019,147765,158247515,977118,33896032,
31,31,0100000US,United States,00,Total for all sectors,004,Equally male/female,001,Total,00,Total,001,Total,630,Firms with 10 to 19 employees,2019,92532,175403006,1242201,41956375,
32,32,0100000US,United States,00,Total for all sectors,004,Equally male/female,001,Total,00,Total,001,Total,641,Firms with 20 to 49 employees,2019,57405,269205973,1699717,58244690,
33,33,0100000US,United States,00,Total for all sectors,004,Equally male/female,001,Total,00,Total,001,Total,642,Firms with 50 to 99 employees,2019,13810,163731511,941572,35866265,
34,34,0100000US,United States,00,Total for all sectors,004,Equally male/female,001,Total,00,Total,001,Total,651,Firms with 100 to 249 employees,2019,5274,153446648,767441,31214269,
35,35,0100000US,United States,00,Total for all sectors,004,Equally male/female,001,Total,00,Total,001,Total,652,Firms with 250 to 499 employees,2019,1541,121371725,528243,22416104,
36,36,0100000US,United States,00,Total for all sectors,004,Equally male/female,001,Total,00,Total,001,Total,657,Firms with 500 employees or more,2019,629,144079792,873009,31024139,
37,37,0100000US,United States,00,Total for all sectors,001,Total,020,Hispanic,00,Total,001,Total,611,Firms with no employees,2019,45073,16488583,0,2715068,
38,38,0100000US,United States,00,Total for all sectors,001,Total,020,Hispanic,00,Total,001,Total,612,Firms with 1 to 4 employees,2019,185194,76334051,365479,12408451,
39,39,0100000US,United States,00,Total for all sectors,001,Total,020,Hispanic,00,Total,001,Total,620,Firms with 5 to 9 employees,2019,54867,54527584,361406,12235471,
40,40,0100000US,United States,00,Total for all sectors,001,Total,020,Hispanic,00,Total,001,Total,630,Firms with 10 to 19 employees,2019,33887,63341266,455250,15968166,
41,41,0100000US,United States,00,Total for all sectors,001,Total,020,Hispanic,00,Total,001,Total,641,Firms with 20 to 49 employees,2019,20269,84634717,605189,21893780,
42,42,0100000US,United States,00,Total for all sectors,001,Total,020,Hispanic,00,Total,001,Total,642,Firms with 50 to 99 employees,2019,4845,54632818,325410,12067904,
43,43,0100000US,United States,00,Total for all sectors,001,Total,020,Hispanic,00,Total,001,Total,651,Firms with 100 to 249 employees,2019,1882,48346403,273814,11240838,
44,44,0100000US,United States,00,Total for all sectors,001,Total,020,Hispanic,00,Total,001,Total,652,Firms with 250 to 499 employees,2019,500,22502494,167066,6754511,
45,45,0100000US,United States,00,Total for all sectors,001,Total,020,Hispanic,00,Total,001,Total,657,Firms with 500 employees or more,2019,319,42472208,376934,13071535,
46,46,0100000US,United States,00,Total for all sectors,002,Female,020,Hispanic,00,Total,001,Total,611,Firms with no employees,2019,10906,3299555,0,551752,
47,47,0100000US,United States,00,Total for all sectors,002,Female,020,Hispanic,00,Total,001,Total,612,Firms with 1 to 4 employees,2019,49356,16863217,94629,3066727,
48,48,0100000US,United States,00,Total for all sectors,002,Female,020,Hispanic,00,Total,001,Total,620,Firms with 5 to 9 employees,2019,15146,13452122,100223,3088492,
49,49,0100000US,United States,00,Total for all sectors,002,Female,020,Hispanic,00,Total,001,Total,630,Firms with 10 to 19 employees,2019,7766,10729891,103285,3247403,
50,50,0100000US,United States,00,Total for all sectors,002,Female,020,Hispanic,00,Total,001,Total,641,Firms with 20 to 49 employees,2019,4720,16309422,138971,4302773,
51,51,0100000US,United States,00,Total for all sectors,002,Female,020,Hispanic,00,Total,001,Total,642,Firms with 50 to 99 employees,2019,S,S,"50,000 to 99,999 employees",S,
52,52,0100000US,United States,00,Total for all sectors,002,Female,020,Hispanic,00,Total,001,Total,651,Firms with 100 to 249 employees,2019,409,8172862,59205,2189025,
53,53,0100000US,United States,00,Total for all sectors,002,Female,020,Hispanic,00,Total,001,Total,652,Firms with 250 to 499 employees,2019,S,S,"50,000 to 99,999 employees",S,
54,54,0100000US,United States,00,Total for all sectors,002,Female,020,Hispanic,00,Total,001,Total,657,Firms with 500 employees or more,2019,91,11748800,95506,3154382,
55,55,0100000US,United States,00,Total for all sectors,003,Male,020,Hispanic,00,Total,001,Total,611,Firms with no employees,2019,29451,11091260,0,1903080,
56,56,0100000US,United States,00,Total for all sectors,003,Male,020,Hispanic,00,Total,001,Total,612,Firms with 1 to 4 employees,2019,115121,50504159,228337,8061000,
57,57,0100000US,United States,00,Total for all sectors,003,Male,020,Hispanic,00,Total,001,Total,620,Firms with 5 to 9 employees,2019,33371,35696819,219225,7924906,
58,58,0100000US,United States,00,Total for all sectors,003,Male,020,Hispanic,00,Total,001,Total,630,Firms with 10 to 19 employees,2019,21273,45101116,287929,10891084,
59,59,0100000US,United States,00,Total for all sectors,003,Male,020,Hispanic,00,Total,001,Total,641,Firms with 20 to 49 employees,2019,12851,59644421,386860,15384198,
60,60,0100000US,United States,00,Total for all sectors,003,Male,020,Hispanic,00,Total,001,Total,642,Firms with 50 to 99 employees,2019,3073,37097562,209661,8706508,
61,61,0100000US,United States,00,Total for all sectors,003,Male,020,Hispanic,00,Total,001,Total,651,Firms with 100 to 249 employees,2019,1216,34463754,178819,7406421,
62,62,0100000US,United States,00,Total for all sectors,003,Male,020,Hispanic,00,Total,001,Total,652,Firms with 250 to 499 employees,2019,289,17854371,96396,4722810,
63,63,0100000US,United States,00,Total for all sectors,003,Male,020,Hispanic,00,Total,001,Total,657,Firms with 500 employees or more,2019,212,29772245,266105,9525825,
64,64,0100000US,United States,00,Total for all sectors,004,Equally male/female,020,Hispanic,00,Total,001,Total,611,Firms with no employees,2019,4719,2097768,0,260237,
65,65,0100000US,United States,00,Total for all sectors,004,Equally male/female,020,Hispanic,00,Total,001,Total,612,Firms with 1 to 4 employees,2019,20718,8966675,42512,1280723,
66,66,0100000US,United States,00,Total for all sectors,004,Equally male/female,020,Hispanic,00,Total,001,Total,620,Firms with 5 to 9 employees,2019,6350,5378643,41958,1222074,
67,67,0100000US,United States,00,Total for all sectors,004,Equally male/female,020,Hispanic,00,Total,001,Total,630,Firms with 10 to 19 employees,2019,4847,7510259,64036,1829679,
68,68,0100000US,United States,00,Total for all sectors,004,Equally male/female,020,Hispanic,00,Total,001,Total,641,Firms with 20 to 49 employees,2019,2698,8680875,79359,2206809,
69,69,0100000US,United States,00,Total for all sectors,004,Equally male/female,020,Hispanic,00,Total,001,Total,642,Firms with 50 to 99 employees,2019,S,S,"25,000 to 49,999 employees",S,
70,70,0100000US,United States,00,Total for all sectors,004,Equally male/female,020,Hispanic,00,Total,001,Total,651,Firms with 100 to 249 employees,2019,S,S,"25,000 to 49,999 employees",S,
71,71,0100000US,United States,00,Total for all sectors,004,Equally male/female,020,Hispanic,00,Total,001,Total,652,Firms with 250 to 499 employees,2019,S,S,"10,000 to 24,999 employees",S,
72,72,0100000US,United States,00,Total for all sectors,004,Equally male/female,020,Hispanic,00,Total,001,Total,657,Firms with 500 employees or more,2019,18,951163,15323,391328,
73,73,0100000US,United States,00,Total for all sectors,001,Total,028,Equally Hispanic/non-Hispanic,00,Total,001,Total,611,Firms with no employees,2019,7139,3529106,0,1667430,
74,74,0100000US,United States,00,Total for all sectors,001,Total,028,Equally Hispanic/non-Hispanic,00,Total,001,Total,612,Firms with 1 to 4 employees,2019,25053,11475564,51686,1924868,
75,75,0100000US,United States,00,Total for all sectors,001,Total,028,Equally Hispanic/non-Hispanic,00,Total,001,Total,620,Firms with 5 to 9 employees,2019,8528,7540181,55939,2080668,
76,76,0100000US,United States,00,Total for all sectors,001,Total,028,Equally Hispanic/non-Hispanic,00,Total,001,Total,630,Firms with 10 to 19 employees,2019,5535,9656515,75977,2700102,
77,77,0100000US,United States,00,Total for all sectors,001,Total,028,Equally Hispanic/non-Hispanic,00,Total,001,Total,641,Firms with 20 to 49 employees,2019,3402,12882040,99710,3422578,
78,78,0100000US,United States,00,Total for all sectors,001,Total,028,Equally Hispanic/non-Hispanic,00,Total,001,Total,642,Firms with 50 to 99 employees,2019,801,9056806,55008,1880026,
79,79,0100000US,United States,00,Total for all sectors,001,Total,028,Equally Hispanic/non-Hispanic,00,Total,001,Total,651,Firms with 100 to 249 employees,2019,336,10173280,53678,2695640,
80,80,0100000US,United States,00,Total for all sectors,001,Total,028,Equally Hispanic/non-Hispanic,00,Total,001,Total,652,Firms with 250 to 499 employees,2019,S,S,"10,000 to 24,999 employees",S,
81,81,0100000US,United States,00,Total for all sectors,001,Total,028,Equally Hispanic/non-Hispanic,00,Total,001,Total,657,Firms with 500 employees or more,2019,70,6855500,68280,1778771,
82,82,0100000US,United States,00,Total for all sectors,002,Female,028,Equally Hispanic/non-Hispanic,00,Total,001,Total,611,Firms with no employees,2019,S,S,0 to 19 employees,S,
83,83,0100000US,United States,00,Total for all sectors,002,Female,028,Equally Hispanic/non-Hispanic,00,Total,001,Total,612,Firms with 1 to 4 employees,2019,1036,310711,2330,91972,
84,84,0100000US,United States,00,Total for all sectors,002,Female,028,Equally Hispanic/non-Hispanic,00,Total,001,Total,620,Firms with 5 to 9 employees,2019,S,S,"1,000 to 2,499 employees",S,
85,85,0100000US,United States,00,Total for all sectors,002,Female,028,Equally Hispanic/non-Hispanic,00,Total,001,Total,630,Firms with 10 to 19 employees,2019,328,263890,4260,93756,
86,86,0100000US,United States,00,Total for all sectors,002,Female,028,Equally Hispanic/non-Hispanic,00,Total,001,Total,641,Firms with 20 to 49 employees,2019,S,S,"2,500 to 4,999 employees",S,
87,87,0100000US,United States,00,Total for all sectors,002,Female,028,Equally Hispanic/non-Hispanic,00,Total,001,Total,642,Firms with 50 to 99 employees,2019,D,D,"1,000 to 2,499 employees",D,
88,88,0100000US,United States,00,Total for all sectors,002,Female,028,Equally Hispanic/non-Hispanic,00,Total,001,Total,651,Firms with 100 to 249 employees,2019,D,D,100 to 249 employees,D,
89,89,0100000US,United States,00,Total for all sectors,003,Male,028,Equally Hispanic/non-Hispanic,00,Total,001,Total,611,Firms with no employees,2019,1485,617124,0,95046,
90,90,0100000US,United States,00,Total for all sectors,003,Male,028,Equally Hispanic/non-Hispanic,00,Total,001,Total,612,Firms with 1 to 4 employees,2019,4645,2353342,9792,411720,
91,91,0100000US,United States,00,Total for all sectors,003,Male,028,Equally Hispanic/non-Hispanic,00,Total,001,Total,620,Firms with 5 to 9 employees,2019,2006,2273881,13493,588755,
92,92,0100000US,United States,00,Total for all sectors,003,Male,028,Equally Hispanic/non-Hispanic,00,Total,001,Total,630,Firms with 10 to 19 employees,2019,1107,2935079,15447,675763,
93,93,0100000US,United States,00,Total for all sectors,003,Male,028,Equally Hispanic/non-Hispanic,00,Total,001,Total,641,Firms with 20 to 49 employees,2019,640,2880578,19227,863273,
94,94,0100000US,United States,00,Total for all sectors,003,Male,028,Equally Hispanic/non-Hispanic,00,Total,001,Total,642,Firms with 50 to 99 employees,2019,S,S,"10,000 to 24,999 employees",S,
95,95,0100000US,United States,00,Total for all sectors,003,Male,028,Equally Hispanic/non-Hispanic,00,Total,001,Total,651,Firms with 100 to 249 employees,2019,S,S,"10,000 to 24,999 employees",S,
96,96,0100000US,United States,00,Total for all sectors,003,Male,028,Equally Hispanic/non-Hispanic,00,Total,001,Total,652,Firms with 250 to 499 employees,2019,S,S,"10,000 to 24,999 employees",S,
