,Unnamed: 0,GEO_ID,NAME,NAICS2017,NAICS2017_LABEL,SEX,SEX_LABEL,ETH_GROUP,ETH_GROUP_LABEL,RACE_GROUP,RACE_GROUP_LABEL,VET_GROUP,VET_GROUP_LABEL,YEAR,FIRMPDEMP,RCPPDEMP,EMP,PAYANN
0,0,Geographic identifier code,Geographic Area Name,2017 NAICS code,Meaning of NAICS code,Sex code,Meaning of Sex code,Ethnicity code,Meaning of Ethnicity code,Race code,Meaning of Race code,Veteran code,Meaning of Veteran code,Year,Number of employer firms,"Sales, value of shipments, or revenue of employer firms ($1,000)",Number of employees,"Annual payroll ($1,000)"
1,1,0100000US,United States,0,Total for all sectors,1,Total,1,Total,0,Total,1,Total,2019,5771292,40073253698,128898226,7227585564
2,2,0100000US,United States,0,Total for all sectors,2,Female,1,Total,0,Total,1,Total,2019,1208407,1808254793,10791948,418552132
3,3,0100000US,United States,0,Total for all sectors,3,Male,1,Total,0,Total,1,Total,2019,3508265,11829891883,45565911,2248777697
4,4,0100000US,United States,0,Total for all sectors,4,Equally male/female,1,Total,0,Total,1,Total,2019,846433,1409475815,7882151,293311176
5,5,0100000US,United States,0,Total for all sectors,1,Total,20,Hispanic,0,Total,1,Total,2019,346836,463280122,2930548,108355725
6,6,0100000US,United States,0,Total for all sectors,2,Female,20,Hispanic,0,Total,1,Total,2019,89785,97393882,731527,23758685
7,7,0100000US,United States,0,Total for all sectors,3,Male,20,Hispanic,0,Total,1,Total,2019,216853,321225706,1873331,74525833
8,8,0100000US,United States,0,Total for all sectors,4,Equally male/female,20,Hispanic,0,Total,1,Total,2019,40198,44660534,325690,10071208
9,9,0100000US,United States,0,Total for all sectors,1,Total,28,Equally Hispanic/non-Hispanic,0,Total,1,Total,2019,50920,78244462,483518,19479010
10,10,0100000US,United States,0,Total for all sectors,2,Female,28,Equally Hispanic/non-Hispanic,0,Total,1,Total,2019,2084,1620593,14743,501383
11,11,0100000US,United States,0,Total for all sectors,3,Male,28,Equally Hispanic/non-Hispanic,0,Total,1,Total,2019,10307,27263423,126918,5823459
12,12,0100000US,United States,0,Total for all sectors,4,Equally male/female,28,Equally Hispanic/non-Hispanic,0,Total,1,Total,2019,38527,49360446,341856,13154168
13,13,0100000US,United States,0,Total for all sectors,1,Total,29,Non-Hispanic,0,Total,1,Total,2019,5165352,14506097906,60825945,2832806270
14,14,0100000US,United States,0,Total for all sectors,2,Female,29,Non-Hispanic,0,Total,1,Total,2019,1116536,1709240318,10045679,394292065
15,15,0100000US,United States,0,Total for all sectors,3,Male,29,Non-Hispanic,0,Total,1,Total,2019,3281106,11481402753,43565662,2168428405
16,16,0100000US,United States,0,Total for all sectors,4,Equally male/female,29,Non-Hispanic,0,Total,1,Total,2019,767708,1315454835,7214604,270085800
17,17,0100000US,United States,0,Total for all sectors,1,Total,1,Total,30,White,1,Total,2019,4819100,13976911398,57662800,2718488369
18,18,0100000US,United States,0,Total for all sectors,2,Female,1,Total,30,White,1,Total,2019,998018,1590565160,9132675,362776725
19,19,0100000US,United States,0,Total for all sectors,3,Male,1,Total,30,White,1,Total,2019,3091929,11110996946,41655173,2092354639
20,20,0100000US,United States,0,Total for all sectors,4,Equally male/female,1,Total,30,White,1,Total,2019,729150,1275349292,6874952,263357005
21,21,0100000US,United States,0,Total for all sectors,1,Total,20,Hispanic,30,White,1,Total,2019,331667,451163742,2829964,104905172
22,22,0100000US,United States,0,Total for all sectors,2,Female,20,Hispanic,30,White,1,Total,2019,84783,94604032,704096,22948264
23,23,0100000US,United States,0,Total for all sectors,3,Male,20,Hispanic,30,White,1,Total,2019,208069,313174031,1816638,72243642
24,24,0100000US,United States,0,Total for all sectors,4,Equally male/female,20,Hispanic,30,White,1,Total,2019,38815,43385679,309230,9713265
25,25,0100000US,United States,0,Total for all sectors,1,Total,28,Equally Hispanic/non-Hispanic,30,White,1,Total,2019,45980,70184256,439684,17314585
26,26,0100000US,United States,0,Total for all sectors,2,Female,28,Equally Hispanic/non-Hispanic,30,White,1,Total,2019,1877,1322434,11491,419789
27,27,0100000US,United States,0,Total for all sectors,3,Male,28,Equally Hispanic/non-Hispanic,30,White,1,Total,2019,8835,24062207,111743,4869516
28,28,0100000US,United States,0,Total for all sectors,4,Equally male/female,28,Equally Hispanic/non-Hispanic,30,White,1,Total,2019,35268,44799614,316450,12025281
29,29,0100000US,United States,0,Total for all sectors,1,Total,29,Non-Hispanic,30,White,1,Total,2019,4441453,13455563400,54393153,2596268612
30,30,0100000US,United States,0,Total for all sectors,2,Female,29,Non-Hispanic,30,White,1,Total,2019,911359,1494638693,8417088,339408673
31,31,0100000US,United States,0,Total for all sectors,3,Male,29,Non-Hispanic,30,White,1,Total,2019,2875026,10773760708,39726792,2015241481
32,32,0100000US,United States,0,Total for all sectors,4,Equally male/female,29,Non-Hispanic,30,White,1,Total,2019,655066,1187163999,6249272,241618459
33,33,0100000US,United States,0,Total for all sectors,1,Total,1,Total,40,Black or African American,1,Total,2019,134567,133653091,1273002,40492389
34,34,0100000US,United States,0,Total for all sectors,2,Female,1,Total,40,Black or African American,1,Total,2019,47650,36550169,448390,12995635
35,35,0100000US,United States,0,Total for all sectors,3,Male,1,Total,40,Black or African American,1,Total,2019,76245,88392436,702981,24753526
36,36,0100000US,United States,0,Total for all sectors,4,Equally male/female,1,Total,40,Black or African American,1,Total,2019,10671,8710485,121631,2743228
37,37,0100000US,United States,0,Total for all sectors,1,Total,20,Hispanic,40,Black or African American,1,Total,2019,10269,7018970,53063,1977202
38,38,0100000US,United States,0,Total for all sectors,2,Female,20,Hispanic,40,Black or African American,1,Total,2019,3955,2009543,17907,502472
39,39,0100000US,United States,0,Total for all sectors,3,Male,20,Hispanic,40,Black or African American,1,Total,2019,5936,4557923,33123,1423536
40,40,0100000US,United States,0,Total for all sectors,4,Equally male/female,20,Hispanic,40,Black or African American,1,Total,2019,375,451503,2033,51194
41,41,0100000US,United States,0,Total for all sectors,1,Total,28,Equally Hispanic/non-Hispanic,40,Black or African American,1,Total,2019,176,154282,1181,69607
42,42,0100000US,United States,0,Total for all sectors,3,Male,28,Equally Hispanic/non-Hispanic,40,Black or African American,1,Total,2019,D,D,20 to 99 employees,D
43,43,0100000US,United States,0,Total for all sectors,4,Equally male/female,28,Equally Hispanic/non-Hispanic,40,Black or African American,1,Total,2019,173,144292,1160,67066
44,44,0100000US,United States,0,Total for all sectors,1,Total,29,Non-Hispanic,40,Black or African American,1,Total,2019,124122,126479839,1218757,38445580
45,45,0100000US,United States,0,Total for all sectors,2,Female,29,Non-Hispanic,40,Black or African American,1,Total,2019,43696,34540626,430482,12493162
46,46,0100000US,United States,0,Total for all sectors,3,Male,29,Non-Hispanic,40,Black or African American,1,Total,2019,70304,83824523,669837,23327449
47,47,0100000US,United States,0,Total for all sectors,4,Equally male/female,29,Non-Hispanic,40,Black or African American,1,Total,2019,10122,8114690,118438,2624969
48,48,0100000US,United States,0,Total for all sectors,1,Total,1,Total,50,American Indian and Alaska Native,1,Total,2019,26064,35776597,215049,8660699
